offer_id,url,title,author,price,old_price,currency,image_url,category,category_id,description,genre,rating,reviews_count,views_count,published_at,availability,is_new,is_popular,is_cheap,feed_group,priority,source,errors
270,https://rcbooks.com/product/10-sapfirov,10 сапфиров - RC Books,,10,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/05/10.png,Книги,1,"Небольшая по цене история, с которой легко вернуться к чтению.",,,0,,2024-11-05,true,false,false,true,cheap,50,auto,
422,https://rcbooks.com/product/1000-sapfirov,1000 сапфиров - RC Books,,1000,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/05/1000.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,0,,2024-05-16,true,false,false,false,default,50,auto,
279,https://rcbooks.com/product/200-sapfirov,200 сапфиров - RC Books,,200,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/05/200.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,0,,2024-11-05,true,false,false,false,default,50,auto,
421,https://rcbooks.com/product/2500-sapfirov,2500 сапфиров - RC Books,,2500,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/05/2000.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,0,,2024-05-16,true,false,false,false,default,50,auto,
277,https://rcbooks.com/product/75-sapfirov,75 сапфиров - RC Books,,75,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/05/75.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,0,,2024-11-05,true,false,false,false,default,50,auto,
43772,https://rcbooks.com/product/arkanum-sleduya-za-belym-krolikom-audio,Аудиокнига Арканум Следуя за Белым Кроликом — слушать онлайн на сайте RC Books,,399,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/05/arkanum_szbk_pryamoug-bez18-dlya-sajta-1.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,210,,2025-05-14,true,false,false,false,default,50,auto,
37866,https://rcbooks.com/product/arkanum-v-pogone-za-belym-krolikom-epub,Книга Арканум Следуя за Белым Кроликом — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/05/arkanum_szbk_pryamoug-bez18-dlya-sajta-1.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,240,,2025-03-28,true,false,false,false,default,50,auto,
71627,https://rcbooks.com/product/conquering-versailles-laughter-of-birds-text,Книга Покоряя Версаль: Смех Птиц — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2026/05/sn_-smeh-pticz_pryamoug-18-sajt.png,Книги,1,"Свежая история на RC Books — загляните в карточку и выберите, с чего начать.",,,2,,2026-05-22,true,true,false,false,new,50,auto,
40004,https://rcbooks.com/product/czvetok-iz-ognya-tiamat-pod-zvezdnoj-tenyu-irkally-audio,Цветок из Огня Тиамат: Под звездной тенью Иркаллы [Гл. 3 из 3] - RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/01/cziot_-pzti-pryamoug-copy.jpeg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,32,,2025-09-04,true,false,false,false,default,50,auto,
20382,https://rcbooks.com/product/czvetok-iz-ognya-tiamat-pod-zvezdnoj-tenyu-irkally-gl-1-3,Книга Цветок из Огня Тиамат Под звездной тенью Иркаллы — читать онлайн на сайте RC Books,,99,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/01/cziot_-pzti-pryamoug-copy.jpeg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,21,,2025-01-24,true,false,false,false,default,50,auto,
17540,https://rcbooks.com/product/dracula-istoriya-lubvi-put-otvagi-audio-gl-1,Аудиокнига Дракула История Любви Путь отваги — слушать онлайн на сайте RC Books,,1,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/12/dls_cover.jpg,Книги,1,"Небольшая по цене история, с которой легко вернуться к чтению.",,,14,,2025-01-15,true,false,false,true,cheap,50,auto,
5415,https://rcbooks.com/product/dracula-istoriya-lubvi-put-otvagi-epub,Книга Дракула История Любви Путь отваги — читать онлайн на сайте RC Books,,99,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/12/dls_cover.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,37,,2024-12-16,true,false,false,false,default,50,auto,
68038,https://rcbooks.com/product/drakula-istoriya-lyubvi-my-lord,Книга Дракула История Любви Путь отваги — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2026/02/dil_mojgosp_pryamoug18.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,25,,2026-02-20,true,false,false,false,default,50,auto,
17555,https://rcbooks.com/product/drakula-istoriya-lyubvi-put-otvagi-audio-gl-1-4,Аудиокнига Дракула История Любви Путь отваги — слушать онлайн на сайте RC Books,,149,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/12/dls_cover.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,15,,2025-01-15,true,false,false,false,default,50,auto,
646,https://rcbooks.com/product/fftf-official-audiobook,Аудиокнига Цветок из Огня Тиамат — слушать онлайн на сайте RC Books,,299,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/08/czvetok-iz-ognya-tiamat-rc-books-1.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,24,,2024-08-26,true,false,false,false,default,50,auto,
205,https://rcbooks.com/product/fftf_official,Книга Цветок из Огня Тиамат — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/08/czvetok-iz-ognya-tiamat-rc-books-1.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,29,,2024-10-05,true,false,false,false,default,50,auto,
64316,https://rcbooks.com/product/kali-zov-tmy-dyuzhina-audio,Кали. Зов Тьмы: Дюжина [Гл. 1-18 из 18] - RC Books,,299,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/07/cover-1.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,6,,2025-12-17,true,false,false,false,default,50,auto,
53608,https://rcbooks.com/product/kali-zov-tmy-dyuzhina-gl-1-18-iz-18,Книга Кали Зов Тьмы Дюжина — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/07/cover-1.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,37,,2025-07-31,true,false,false,false,default,50,auto,
59533,https://rcbooks.com/product/kali-zov-tmy-kogda-mertvye-govoryat,Книга Кали Зов Тьмы Когда Мертвые Говорят — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/10/when-dead-speak-cover.jpeg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,26,,2025-08-10,true,false,false,false,default,50,auto,
59054,https://rcbooks.com/product/kali-zov-tmy-krug-krovi-audio,Кали. Зов Тьмы: Круг крови [Гл. 1-13 из 13] - RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/05/kalicover1.jpeg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,12,,2025-01-10,true,false,false,false,default,50,auto,
43559,https://rcbooks.com/product/kali-zov-tmy-krug-krovi-epub,Книга Кали Зов Тьмы Круг крови — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/05/kalicover1.jpeg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,62,,2025-12-05,true,false,false,false,default,50,auto,
5694,https://rcbooks.com/product/kali-zov-tmy-prokljatye-gl-1-iz-10,Аудиокнига Кали Зов Тьмы Проклятые — слушать онлайн на сайте RC Books,,1,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/12/kzt-2.png,Книги,1,"Небольшая по цене история, с которой легко вернуться к чтению.",,,59,,2024-12-18,true,false,false,true,cheap,50,auto,
book_kali-zov-tmy-proklyatye,https://rcbooks.com/product/kali-zov-tmy-proklyatye,Купить бумажную книгу Кали Зов Тьмы Проклятые — заказать на сайте RC Books,,1049,,RUB,https://rcbooks.com/wp-content/uploads/2025/12/kztp.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,,,2025-01-12,true,false,false,false,default,50,auto,missing_price
64319,https://rcbooks.com/product/kali-zov-tmy-proklyatye-full-text,Аудиокнига Кали Зов Тьмы Проклятые — слушать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/12/kzt-2.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,11,,2025-12-17,true,false,false,false,default,50,auto,
6656,https://rcbooks.com/product/kali-zov-tmy-proklyatye-gl-1-10,Аудиокнига Кали Зов Тьмы Проклятые — слушать онлайн на сайте RC Books,,299,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/12/kzt-2.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,73,,2024-12-25,true,false,false,false,default,50,auto,
592,https://rcbooks.com/product/krovavyj-tron,Книга Песнь о Красном Ниле Кровавый трон — читать онлайн на сайте RC Books,,1,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/08/krovavyj-tron-1.jpg,Книги,1,"Небольшая по цене история, с которой легко вернуться к чтению.",,,193,,2024-03-07,true,false,false,true,cheap,50,auto,
38695,https://rcbooks.com/product/legenda-ivy-son-i-sol-audio,Легенда Ивы: Сон и Соль [Гл. 1-2 из 2] - RC Books,,149,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/01/son-i-sol-pryamoug-vero-pascal.jpeg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,13,,2025-02-04,true,false,false,false,default,50,auto,
18724,https://rcbooks.com/product/legenda-ivy-son-i-sol-gl-1-2,Книга Легенда Ивы Сон и Соль — читать онлайн на сайте RC Books,,99,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/01/son-i-sol-pryamoug-vero-pascal.jpeg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,35,,2025-01-20,true,false,false,false,default,50,auto,
